Summary,Start Date,End Date,Weekday,Start Time,End Time,Node,Location,Teacher
Web开发技术,2023-02-20,2023-04-02,Monday,15:45,17:30,第7 - 8节,正心14,田英鑫
形势与政策（2）,2023-04-17,2023-05-14,Monday,13:45,15:30,第5 - 6节,致知22,由田
计算机组成原理,2023-02-20,2023-04-30,Monday,10:00,11:45,第3 - 4节,正心522,张展
软件构造,2023-02-20,2023-04-16,Monday,08:00,09:45,第1 - 2节,正心12,刘铭
Web开发技术,2023-02-22,2023-04-04,Wednesday,10:00,11:45,第3 - 4节,正心14,田英鑫
形势与政策（2）,2023-04-19,2023-05-16,Wednesday,13:45,15:30,第5 - 6节,致知22,由田
软件构造,2023-02-22,2023-04-18,Wednesday,08:00,09:45,第1 - 2节,正心12,刘铭
计算理论,2023-04-12,2023-06-06,Wednesday,10:00,11:45,第3 - 4节,格物201,刘显敏
马克思主义基本原理,2023-03-15,2023-06-06,Wednesday,15:45,17:30,第7 - 8节,致知12,佟宇佳
计算机组成原理,2023-02-24,2023-05-04,Friday,08:00,09:45,第1 - 2节,正心522   ,张展
计算理论,2023-04-14,2023-06-08,Friday,13:45,15:30,第5 - 6节,格物201   ,刘显敏
马克思主义基本原理,2023-03-17,2023-06-08,Friday,10:00,11:45,第3 - 4节,正心314   ,佟宇佳
人工智能导论(实验),2023-05-19,2023-05-25,Friday,18:30,22:15,第9 - 12节,格物207   ,张宇
人工智能导论(实验),2023-05-26,2023-06-01,Friday,18:30,22:15,第9 - 12节,格物207   ,张宇
人工智能导论,2023-04-18,2023-05-29,Tuesday,08:00,09:45,第1 - 2节,正心31 ,张宇
形式语言与自动机,2023-02-21,2023-04-17,Tuesday,13:45,15:30,第5 - 6节,正心31 ,王春宇
算法设计与分析,2023-02-21,2023-04-17,Tuesday,15:45,17:30,第7 - 8节,正心11 ,丁小欧
英语语音与诵读(提高),2023-02-21,2023-06-12,Tuesday,10:00,11:45,第3 - 4节,正心524 ,王旸
马克思主义基本原理(实验),2023-04-18,2023-04-24,Tuesday,18:30,20:15,第9 - 10节,正心120 ,佟宇佳
人工智能导论,2023-04-20,2023-05-31,Thursday,08:00,09:45,第1 - 2节,正心31,张宇
形式语言与自动机,2023-02-23,2023-04-19,Thursday,08:00,09:45,第1 - 2节,正心31,王春宇
算法设计与分析,2023-02-23,2023-04-19,Thursday,10:00,11:45,第3 - 4节,正心11,丁小欧
Web开发技术(实验),2023-03-09,2023-04-05,Thursday,18:30,20:15,第9 - 10节,软件学院三楼,田英鑫
高分子复合材料工艺学,2023-02-23,2023-04-26,Thursday,13:45,15:30,第5 - 6节,正心622,肖海英
计算机组成原理(实验),2023-03-18,2023-03-24,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023-04-01,2023-04-07,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023-04-15,2023-04-21,Saturday,10:00,11:45,第3 - 4节,G712,张展
计算机组成原理(实验),2023-04-22,2023-04-28,Saturday,10:00,11:45,第3 - 4节,G712,张展
高分子复合材料工艺学,2023-02-25,2023-04-28,Saturday,15:45,17:30,第7 - 8节,正心622,肖海英
